amount,tcode,month,dow,year,dtme_cat,age_group,td
6000.984844016771,DEBIT__REMITTANCE TO ANOTHER BANK__INSURANCE PAYMENT,3,2,1997,first,51-60,1.173168921593533
-788.3734320433678,DEBIT__CASH WITHDRAWAL__PAYMENT ON STATEMENT,11,6,1996,last,31-40,4.1086380205141175
21545.802611443487,CREDIT__CREDIT IN CASH__nan,1,6,1997,first,31-40,0.9181058263056276
5787.214126309883,DEBIT__REMITTANCE TO ANOTHER BANK__INSURANCE PAYMENT,2,2,1997,first,51-60,5.593859184670926
2515.699735534212,DEBIT__CASH WITHDRAWAL__nan,3,1,1997,first,31-40,6.379619704504858
151.87668863908112,CREDIT__nan__INTEREST CREDITED,6,3,1995,last,31-40,2.1706485583954347
-99.82820405587073,DEBIT__CASH WITHDRAWAL__nan,11,6,1998,last,31-40,4.352668751150147
2204.4436110853967,DEBIT__CASH WITHDRAWAL__nan,1,0,1998,middle,18-30,2.1119323812604978
370.52016873928505,DEBIT__CASH WITHDRAWAL__PAYMENT ON STATEMENT,9,2,1997,first,31-40,0.000965771584615313
9845.151713489711,DEBIT__REMITTANCE TO ANOTHER BANK__ ,9,1,1997,middle,18-30,9.15711293650661
264.4588111859741,CREDIT__nan__INTEREST CREDITED,4,2,1997,last,51-60,3.8039689818362956
-133.28417704629982,DEBIT__CASH WITHDRAWAL__nan,6,2,1997,last,18-30,5.907869370165692
2667.5165569441415,CREDIT__COLLECTION FROM ANOTHER BANK__OLD AGE PENSION,7,5,1996,last,61+,7.768855083259281
126.96420600727757,CREDIT__CREDIT IN CASH__nan,7,0,1998,first,51-60,0.009588162786017316
381.0512164181188,CREDIT__nan__INTEREST CREDITED,6,6,1996,last,18-30,17.715333860272246
-1327.5711725270376,DEBIT__CASH WITHDRAWAL__nan,12,6,1998,last,51-60,3.689614669899693
-180.06653381430243,DEBIT__CASH WITHDRAWAL__PAYMENT ON STATEMENT,1,2,1998,last,18-30,0.9790422957171779
5032.4834031022265,CREDIT__CREDIT IN CASH__nan,4,3,1996,middle,31-40,7.502389625959411
141.1690831211803,CREDIT__nan__INTEREST CREDITED,7,5,1998,last,31-40,17.878764228986334
228.76028183046623,DEBIT__CASH WITHDRAWAL__PAYMENT ON STATEMENT,6,0,1998,last,51-60,3.675923924355226
197.62668757382636,DEBIT__CASH WITHDRAWAL__PAYMENT ON STATEMENT,5,2,1997,last,18-30,0.01793291274094376
309.6218945280257,CREDIT__nan__INTEREST CREDITED,7,4,1998,last,51-60,8.025632738385971
